feature,coefficient
share,1.760817859274891
shock,1.3425512611014576
evidence,1.2430651973282965
truth,1.2273448339017698
shock world,1.0750932470437824
plan,1.025602523532579
document,1.025602523532579
reveal,0.9700150412931992
catch,0.962987992227315
secretly,0.9520596553049651
medium,0.8987853687927164
reveals truth,0.8855820467023442
reveals,0.8855820467023442
doctor,0.8799002844788608
cause,0.8636730269886639
nasa discover,0.7332308269836055
solar,0.7332308269836055
solar shock,0.7332308269836055
nasa,0.7332308269836055
edge,0.7332308269836055
change nasa,0.7332308269836055
change,0.7332308269836055
discover edge,0.7332308269836055
edge solar,0.7332308269836055
world,0.6797194058418444
money safe,0.6731000277529758
money,0.6731000277529758
account official,0.6731000277529758
safe,0.6731000277529758
safe government,0.6731000277529758
official document,0.6731000277529758
plan confiscate,0.6731000277529758
bank account,0.6731000277529758
document leak,0.6731000277529758
account,0.6731000277529758
leak,0.6731000277529758
confiscate,0.6731000277529758
confiscate bank,0.6731000277529758
government plan,0.6731000277529758
evidence share,0.6275266226356565
damn,0.6089056453732717
network,0.6089056453732717
catch fabricate,0.6089056453732717
whistleblower,0.6089056453732717
whistleblower release,0.6089056453732717
fabricate,0.6089056453732717
fabricate story,0.6089056453732717
release damn,0.6089056453732717
damn evidence,0.6089056453732717
network catch,0.6089056453732717
major,0.6089056453732717
year whistleblower,0.6089056453732717
trend major,0.6089056453732717
trend,0.6089056453732717
story year,0.6089056453732717
story,0.6089056453732717
major network,0.6089056453732717
immediately,0.6088828817065568
note,0.6088828817065568
note tomorrow,0.6088828817065568
demonetize note,0.6088828817065568
immediately lose,0.6088828817065568
convert cash,0.6088828817065568
convert,0.6088828817065568
cash immediately,0.6088828817065568
lose,0.6088828817065568
demonetize,0.6088828817065568
cash,0.6088828817065568
rbi,0.6088828817065568
alert,0.6088828817065568
alert rbi,0.6088828817065568
tomorrow,0.6088828817065568
secretly demonetize,0.6088828817065568
rbi secretly,0.6088828817065568
tomorrow convert,0.6088828817065568
foreign,0.6074010208225123
power,0.6074010208225123
conspiracy,0.6074010208225123
conspiracy reveal,0.6074010208225123
control,0.6074010208225123
control indian,0.6074010208225123
power control,0.6074010208225123
indian politician,0.6074010208225123
indian,0.6074010208225123
foreign power,0.6074010208225123
politician,0.6074010208225123
politician blackmail,0.6074010208225123
reveal foreign,0.6074010208225123
blackmail,0.6074010208225123
blackmail truth,0.6074010208225123
truth dont,0.6074010208225123
dont,0.6074010208225123
aicontrolled robot,0.5565718904303181
aicontrolled,0.5565718904303181
intelligence,0.5565718904303181
leader,0.5565718904303181
leader actually,0.5565718904303181
world leader,0.5565718904303181
actually aicontrolled,0.5565718904303181
actually,0.5565718904303181
intelligence officer,0.5565718904303181
officer reveals,0.5565718904303181
robot,0.5565718904303181
officer,0.5565718904303181
robot intelligence,0.5565718904303181
break,0.5562552341228376
compromise,0.5562552341228376
commission compromise,0.5562552341228376
reveal massive,0.5562552341228376
plan share,0.5562552341228376
vote manipulation,0.5562552341228376
document reveal,0.5562552341228376
massive vote,0.5562552341228376
secret,0.5562552341228376
manipulation,0.5562552341228376
share delete,0.5562552341228376
compromise secret,0.5562552341228376
delete,0.5562552341228376
massive,0.5562552341228376
manipulation plan,0.5562552341228376
break election,0.5562552341228376
secret document,0.5562552341228376
eliminate cancer,0.5480625957035788
trick watch,0.5480625957035788
doctor hate,0.5480625957035788
watch,0.5480625957035788
eliminate,0.5480625957035788
day,0.5480625957035788
day doctor,0.5480625957035788
hate,0.5480625957035788
cancer,0.5480625957035788
ancient herb,0.5480625957035788
ancient,0.5480625957035788
miracle cure,0.5480625957035788
cure ancient,0.5480625957035788
cure,0.5480625957035788
hate simple,0.5480625957035788
simple,0.5480625957035788
simple trick,0.5480625957035788
cancer day,0.5480625957035788
herb,0.5480625957035788
herb eliminate,0.5480625957035788
trick,0.5480625957035788
miracle,0.5480625957035788
protect,0.5419829045347991
protect evidence,0.5419829045347991
traffic,0.5419829045347991
inside,0.5419829045347991
human traffic,0.5419829045347991
traffic ring,0.5419829045347991
mainstream,0.5419829045347991
human,0.5419829045347991
evidence inside,0.5419829045347991
ring,0.5419829045347991
expose,0.5419829045347991
expose celebrity,0.5419829045347991
ring mainstream,0.5419829045347991
mainstream medium,0.5419829045347991
medium protect,0.5419829045347991
celebrity,0.5419829045347991
catch human,0.5419829045347991
celebrity catch,0.5419829045347991
sign away,0.5343244683326189
shock exposure,0.5343244683326189
away,0.5343244683326189
away indias,0.5343244683326189
secretly sign,0.5343244683326189
hidden,0.5343244683326189
prime,0.5343244683326189
prime minister,0.5343244683326189
sovereignty hidden,0.5343244683326189
exposure,0.5343244683326189
exposure prime,0.5343244683326189
minister secretly,0.5343244683326189
medium wont,0.5343244683326189
indias sovereignty,0.5343244683326189
indias,0.5343244683326189
sovereignty,0.5343244683326189
hidden treaty,0.5343244683326189
treaty,0.5343244683326189
treaty medium,0.5343244683326189
wont,0.5343244683326189
tower,0.5292799639142834
prove tower,0.5292799639142834
government cover,0.5292799639142834
cover evidence,0.5292799639142834
cover,0.5292799639142834
new study,0.5292799639142834
warn new,0.5292799639142834
study prove,0.5292799639142834
cause brain,0.5292799639142834
brain tumor,0.5292799639142834
brain,0.5292799639142834
prove,0.5292799639142834
warn,0.5292799639142834
awareness,0.5292799639142834
spread awareness,0.5292799639142834
tumor government,0.5292799639142834
tumor,0.5292799639142834
spread,0.5292799639142834
share spread,0.5292799639142834
tower cause,0.5292799639142834
urgent admits,0.5070134035708993
covid vaccine,0.5070134035708993
admits,0.5070134035708993
admits covid,0.5070134035708993
dna,0.5070134035708993
dna mutation,0.5070134035708993
mutation,0.5070134035708993
mutation doctor,0.5070134035708993
big pharma,0.5070134035708993
permanent,0.5070134035708993
permanent dna,0.5070134035708993
pharma,0.5070134035708993
truth big,0.5070134035708993
doctor reveals,0.5070134035708993
cause permanent,0.5070134035708993
vaccine cause,0.5070134035708993
urgent,0.5070134035708993
vaccine,0.5070134035708993
big,0.5070134035708993
lose confirmed,0.4783613556025119
confirmed,0.4783613556025119
pharma hiding,0.3965341335390467
hiding,0.3965341335390467
discover,0.2760812127753103
world share,0.2538689921687932
bank,0.24265478269840202
confirm share,0.21605583352112578
lose confirm,0.21605583352112578
delete share,0.2105519808748278
leak share,0.20626164010792788
wont share,0.19840946895442754
sign,0.19819797953352306
awareness share,0.19723511972503494
dont share,0.19658838517026053
inside share,0.1930640483521806
watch share,0.19023674280548938
hide,0.18290828168895507
hide share,0.18290828168895507
pharma hide,0.18290828168895507
truth share,0.17819849804014612
year,0.1561604188397807
minister,0.14812785158289032
vote,0.13443142627934185
election commission,0.13443142627934185
covid,0.11052778278383445
government,0.10624875889164608
study,0.07333430454208932
release world,-0.04751868899146746
data microsoft,-0.05083696943121902
source official,-0.05122682618137912
data central,-0.05293851882746815
state official,-0.05506775643024932
source world,-0.05686594261093502
data international,-0.05733222370462764
release team,-0.058872785291982664
source reserve,-0.05977767312429678
data finance,-0.05992727043568339
source stock,-0.06054733428146718
